"","date","load_type","country","price","price_difference"
"108","2019-09-03","база","Словаччина",47.16,-19.92
"109","2019-09-03","база","Угорщина",65.13,10.6
"110","2019-09-03","база","Румунія",65.28,10.85
"111","2019-09-03","пік","Україна",73.81,NA
"112","2019-09-03","пік","Польща",289.41,292.1
"113","2019-09-03","пік","Словаччина",58.91,-20.19
"114","2019-09-03","пік","Угорщина",76.3,3.37
"115","2019-09-03","пік","Румунія",76.3,3.37
"116","2019-09-03","позапік","Україна",43.97,NA
"117","2019-09-03","позапік","Польща",238.61,442.67
"118","2019-09-03","позапік","Словаччина",35.41,-19.47
"119","2019-09-03","позапік","Угорщина",53.95,22.7
"120","2019-09-03","позапік","Румунія",54.25,23.38
"121","2019-09-04","база","Україна",58.53,NA
"122","2019-09-04","база","Польща",266.74,355.73
"123","2019-09-04","база","Словаччина",35.67,-39.06
"124","2019-09-04","база","Угорщина",48.8,-16.62
"125","2019-09-04","база","Румунія",48.8,-16.62
"126","2019-09-04","пік","Україна",73.52,NA
"127","2019-09-04","пік","Польща",290.39,294.98
"128","2019-09-04","пік","Словаччина",36.97,-49.71
"129","2019-09-04","пік","Угорщина",52.61,-28.44
"130","2019-09-04","пік","Румунія",52.61,-28.44
"131","2019-09-04","позапік","Україна",43.55,NA
"132","2019-09-04","позапік","Польща",243.09,458.19
"133","2019-09-04","позапік","Словаччина",34.36,-21.1
"134","2019-09-04","позапік","Угорщина",44.99,3.31
"135","2019-09-04","позапік","Румунія",44.99,3.31
"136","2019-09-05","база","Україна",59.09,NA
"137","2019-09-05","база","Польща",258.83,338.03
"138","2019-09-05","база","Словаччина",35.2,-40.43
"139","2019-09-05","база","Угорщина",67.87,14.86
"140","2019-09-05","база","Румунія",67.87,14.86
"141","2019-09-05","пік","Україна",74.03,NA
"142","2019-09-05","пік","Польща",281.52,280.28
"143","2019-09-05","пік","Словаччина",38.87,-47.49
"144","2019-09-05","пік","Угорщина",75.5,1.99
"145","2019-09-05","пік","Румунія",75.5,1.99
"146","2019-09-05","позапік","Україна",44.15,NA
"147","2019-09-05","позапік","Польща",236.15,434.88
"148","2019-09-05","позапік","Словаччина",31.53,-28.58
"149","2019-09-05","позапік","Угорщина",60.24,36.44
"150","2019-09-05","позапік","Румунія",60.24,36.44
"151","2019-09-06","база","Україна",57.27,NA
"152","2019-09-06","база","Польща",264.17,361.27
"153","2019-09-06","база","Словаччина",42.3,-26.14
"154","2019-09-06","база","Угорщина",60.04,4.84
"155","2019-09-06","база","Румунія",60.35,5.38
"156","2019-09-06","пік","Україна",73.18,NA
"157","2019-09-06","пік","Польща",285.56,290.22
"158","2019-09-06","пік","Словаччина",51.71,-29.34
"159","2019-09-06","пік","Угорщина",65.34,-10.71
"160","2019-09-06","пік","Румунія",65.96,-9.87
"161","2019-09-06","позапік","Україна",41.36,NA
"162","2019-09-06","позапік","Польща",242.78,486.99
"163","2019-09-06","позапік","Словаччина",32.9,-20.45
"164","2019-09-06","позапік","Угорщина",54.74,32.35
"165","2019-09-06","позапік","Румунія",54.74,32.35
"166","2019-09-07","база","Україна",57.5,NA
"167","2019-09-07","база","Польща",246.88,329.36
"168","2019-09-07","база","Словаччина",38.35,-33.3
"169","2019-09-07","база","Угорщина",51.07,-11.18
"170","2019-09-07","база","Румунія",51.07,-11.18
"171","2019-09-07","пік","Україна",73.09,NA
"172","2019-09-07","пік","Польща",261.18,257.34
"173","2019-09-07","пік","Словаччина",44.05,-39.73
"174","2019-09-07","пік","Угорщина",56.09,-23.26
"175","2019-09-07","пік","Румунія",56.09,-23.26
"176","2019-09-07","позапік","Україна",41.91,NA
"177","2019-09-07","позапік","Польща",232.59,454.97
"178","2019-09-07","позапік","Словаччина",32.65,-22.09
"179","2019-09-07","позапік","Угорщина",46.05,9.88
"180","2019-09-07","позапік","Румунія",46.05,9.88
"181","2019-09-08","база","Україна",51.86,NA
"182","2019-09-08","база","Польща",215.09,314.75
"183","2019-09-08","база","Словаччина",36.84,-28.96
"184","2019-09-08","база","Угорщина",41.56,-19.86
"185","2019-09-08","база","Румунія",43.35,-16.41
"186","2019-09-08","пік","Україна",63.18,NA
"187","2019-09-08","пік","Польща",222.07,251.49
"188","2019-09-08","пік","Словаччина",39.16,-38.02
"189","2019-09-08","пік","Угорщина",43.77,-30.72
"190","2019-09-08","пік","Румунія",45.03,-28.73
"191","2019-09-08","позапік","Україна",40.54,NA
"192","2019-09-08","позапік","Польща",208.1,413.32
